Year,Artist,Artist (original),Name,Spotify,RAND
2013,KATY PERRY,KATY PERRY,Roar,http://open.spotify.com/track/27tNWlhdAryQY04Gb2ZhUI,0.92419684
1999,X-SESSION,X-SESSION,On And On,http://open.spotify.com/track/2VCgXl6dU4VEDrDjoKWTlp,0.930537316
1995,BOYZONE,BOYZONE,Love Me For A Reason,http://open.spotify.com/track/2GBoo6ufWtMy1s6lqgbjJ8,0.214458306
2023,TEDDY SWIMS,TEDDY SWIMS,Lose Control,https://open.spotify.com/track/17phhZDn6oGtzMe56NuWvj?si=273c3482305b478e,0.311965927
2015,MIKE POSNER & SEEB,MIKE POSNER,I Took A Pill In Ibiza (Seeb Remix),http://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P,0.857957301
2002,SHAGGY,SHAGGY,Hey Sexy Lady,http://open.spotify.com/track/4u8IPU322yG7mNrqv89GGL,0.336000768
1982,SURVIVOR,SURVIVOR,Eye Of The Tiger,http://open.spotify.com/track/2KH16WveTQWT6KOG9Rg6e2,0.036640936
2005,PUSSYCAT DOLLS,THE PUSSYCAT DOLLS,Don't Cha,http://open.spotify.com/track/1gZ7i4qxXkHZb1r6eioaAP,0.656244264
2020,HARRY STYLES,HARRY STYLES,Watermelon Sugar,http://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,0.90535706
2007,RIHANNA,RIHANNA,Don't Stop The Music,http://open.spotify.com/track/0ByMNEPAPpOR5H69DVrTNy,0.204482564
2011,RIHANNA,RIHANNA,Man Down,http://open.spotify.com/track/454h9zAIuTe1eJyw9iTnj4,0.886841042
1987,FLEETWOOD MAC,FLEETWOOD MAC,Little Lies,http://open.spotify.com/track/4CoSCPlKNrWli7E5kFtbcl,0.800530768
2023,METEJOOR,METEJOOR,Eigen Schuld,http://open.spotify.com/track/1KxRzfQuO8k0dCua9JVRgM,0.420732528
2003,K3,K3,Oya Lélé,https://open.spotify.com/track/6obJhxyLxEFlNOiqPKVR8i,0.600216092
1983,U2,U2,New Year's Day,http://open.spotify.com/track/2CwMxEXxMiLRrKPLjQLmne,0.869634657
2018,DYNORO & GIGI D'AGOSTINO,DYNORO,In My Mind,http://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,0.240366234
1984,U2,U2,Pride (In The Name Of Love),http://open.spotify.com/track/27BZWbka20kOIlB8Jhvzoo,0.123938539
1983,UB40,UB40,Red Red Wine,http://open.spotify.com/track/4uOKFydzAejjSFqYbv1XPt,0.6572622
2001,ENRIQUE IGLESIAS,ENRIQUE IGLESIAS,Hero,http://open.spotify.com/track/24Gxm7Eh7tO83E26LG0CsY,0.185949792
2021,FLEMMING,FLEMMING,Zij Wil Mij,https://open.spotify.com/track/01F3XjTDNiB5v3hfAPi7qT?si=c7b181bb71d345e3,0.192484561
2010,TOM DICE,TOM DICE,Me And My Guitar,http://open.spotify.com/track/4cdzY3vgDsEhlnBk3PhrRO,0.908204585
1995,NOORDKAAP,NOORDKAAP,Ik Hou Van U,https://open.spotify.com/track/51YihgaPLlhMhsezyCYwza?si=947507d3e9c6471d,0.184410341
1986,BANGLES,BANGLES,Manic Monday,http://open.spotify.com/track/00vYs0qZA40Z8AAaN7xmMO,0.573798615
2023,LUKE COMBS,LUKE COMBS,Fast Car,https://open.spotify.com/track/1Lo0QY9cvc8sUB2vnIOxDT?si=f60dca5d461244be,0.330046773
1976,DOLLY PARTON,DOLLY PARTON,Jolene,http://open.spotify.com/track/2SpEHTbUuebeLkgs9QB7Ue,0.874818297
2006,CLOUSEAU,CLOUSEAU,Vonken En Vuur,http://open.spotify.com/track/7ynYrgiwfEhEeSq18w0Vah,0.833155352
2023,DEAN LEWIS,DEAN LEWIS,Trust Me Mate,http://open.spotify.com/track/6w8pFOKn42O418qwcQElZ3,0.953982352
2008,BEYONCÉ,BEYONCÉ,If I Were A Boy,http://open.spotify.com/track/26NX1wPt1TRCH536yocd6i,0.033257298
1996,OASIS,OASIS,Wonderwall,https://open.spotify.com/track/1qPbGZqppFwLwcBC1JQ6Vr?si=8671a56aa26d4581,0.484503294
1993,2 UNLIMITED,2 UNLIMITED,No Limit,https://open.spotify.com/track/7pSJmBTlbA4S5zSLsj6Pzz,0.306912049
1986,PRINCE,PRINCE,Kiss,http://open.spotify.com/track/62LJFaYihsdVrrkgUOJC05,0.666991926
2003,JUSTIN TIMBERLAKE,JUSTIN TIMBERLAKE,Cry Me A River,http://open.spotify.com/track/7Lf7oSEVdzZqTA0kEDSlS5,0.674240374
2008,COLDPLAY,COLDPLAY,Viva La Vida,http://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b,0.481317498
2022,OSCAR AND THE WOLF,OSCAR AND THE WOLF,Warrior,http://open.spotify.com/track/78mqrdXY3nrAwh93OoPfiK,0.438477537
2002,P!NK,P!NK,Get The Party Started,http://open.spotify.com/track/02jcEwywffn3Tsb48fXmlW,0.769827108
2008,AMY MacDONALD,AMY MACDONALD,This Is The Life,http://open.spotify.com/track/3hjWiSJ81P3hOxdBXiqSW4,0.262426191
2007,MILK INC,MILK INC.,Sunrise,http://open.spotify.com/track/61WGMd2D1kT57A5sqvXiLR,0.238000803
2011,RIHANNA,RIHANNA,Man Down,http://open.spotify.com/track/454h9zAIuTe1eJyw9iTnj4,0.680026253
2024,MARK AMBOR,MARK AMBOR,Belong Together,https://open.spotify.com/track/5uQ7de4EWjb3rkcFxyEOpu?,0.45348779
2009,MUMFORD and SONS,MUMFORD & SONS,Little Lion Man,http://open.spotify.com/track/6JnufVNLIO5F5Lk4sEVLeI,0.182851773
2023,CYRIL,CYRIL,Stumblin' In,https://open.spotify.com/track/0h3Xy4V4apMraB5NuM8U7Z,0.121007053
1995,OASIS,OASIS,Don't Look Back In Anger,http://open.spotify.com/track/12dU3vAh6AFoJkisorfoUl,0.39621519
